Asset;Ticker;Tipo_Operacao;Data_Abertura;Data_Fechamento;Quantidade_Abertura;Preco_Abertura;Quantidade_Fechamento;Preco_Fechamento;Tipo_Fechamento;PL_Realizado;Valor_Abertura;Valor_Fechamento;Dias_Posicao;Retorno_Percent
PETRS342;PETRS342;ABERTURA_LONG;17/06/2025;;11100;0,80;0;;;0,00;8892,30;;;
PETRS342;PETRS342;ABERTURA_LONG;17/06/2025;;4000;0,80;0;;;0,00;3204,43;;;
PETRS342;PETRS342;ABERTURA_LONG;17/06/2025;;500;0,80;0;;;0,00;400,55;;;
PETRS342;PETRS342;ABERTURA_LONG;17/06/2025;;5900;0,80;0;;;0,00;4726,54;;;
PETRG342;PETRG342;ABERTURA_SHORT;17/06/2025;;2800;1,37;0;;;0,00;3830,69;;;
PETRG342;PETRG342;ABERTURA_SHORT;17/06/2025;;3000;1,37;0;;;0,00;4104,31;;;
PETRG342;PETRG342;ABERTURA_SHORT;17/06/2025;;900;1,37;0;;;0,00;1231,29;;;
PETRG342;PETRG342;ABERTURA_SHORT;17/06/2025;;700;1,37;0;;;0,00;957,67;;;
PETRG342;PETRG342;ABERTURA_SHORT;17/06/2025;;4200;1,37;0;;;0,00;5746,03;;;
PETRG342;PETRG342;ABERTURA_SHORT;17/06/2025;;7000;1,38;0;;;0,00;9646,62;;;
PETRG342;PETRG342;ABERTURA_SHORT;17/06/2025;;500;1,37;0;;;0,00;684,05;;;
PETRG342;PETRG342;ABERTURA_SHORT;17/06/2025;;13400;1,37;0;;;0,00;18332,57;;;
